epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1509,1.45416,2.70079,1.21369,1,0.36255,0.90176,0.52986,1.21221,2.91942,1.0146,0.000658537,0.000658537,0.000658537
2,25.4535,1.47476,1.75481,1.24682,0.86023,0.83158,0.90426,0.59079,1.13476,1.31668,1.11132,0.00131208,0.00131208,0.00131208
3,34.4871,1.4751,1.46876,1.29609,0.5494,0.69474,0.57141,0.33592,1.27163,3.03194,1.23529,0.00195243,0.00195243,0.00195243
4,43.3291,1.47447,1.27748,1.30537,0.94339,0.87715,0.91437,0.62409,1.12035,1.05618,1.10708,0.0019406,0.0019406,0.0019406
5,52.2175,1.44138,1.08261,1.27494,0.85948,0.78947,0.85641,0.56961,1.16193,1.28716,1.11119,0.0019208,0.0019208,0.0019208
6,61.1138,1.41527,1.02547,1.27103,0.94308,0.89474,0.96107,0.67966,1.02234,0.76013,1.07138,0.001901,0.001901,0.001901
7,69.971,1.39842,0.95709,1.26745,0.95847,0.97172,0.97673,0.65082,1.12673,0.75107,1.12702,0.0018812,0.0018812,0.0018812
8,78.9137,1.38339,0.922,1.24566,0.98176,0.85263,0.95772,0.66622,1.04192,0.8302,1.09499,0.0018614,0.0018614,0.0018614
9,87.7075,1.36078,0.89135,1.23594,0.9631,0.91579,0.97157,0.68157,1.01215,0.68786,1.07165,0.0018416,0.0018416,0.0018416
10,96.4606,1.34348,0.86517,1.23386,0.93296,0.87898,0.96387,0.6788,1.10171,0.69166,1.12043,0.0018218,0.0018218,0.0018218
11,105.327,1.3487,0.84162,1.21158,0.95224,0.95789,0.97853,0.69409,1.01481,0.6319,1.06192,0.001802,0.001802,0.001802
12,114.326,1.32078,0.80947,1.21181,0.93429,0.89807,0.96246,0.65535,1.10067,0.72144,1.07132,0.0017822,0.0017822,0.0017822
13,123.268,1.31098,0.82239,1.20864,0.97738,0.90982,0.97832,0.65135,1.18819,0.65689,1.12851,0.0017624,0.0017624,0.0017624
14,132.38,1.32583,0.79279,1.22902,0.95722,0.94737,0.97693,0.72065,0.98594,0.60354,1.04267,0.0017426,0.0017426,0.0017426
15,141.293,1.31435,0.75325,1.22155,0.96394,0.93684,0.97789,0.69647,1.00347,0.60463,1.03596,0.0017228,0.0017228,0.0017228
16,150.043,1.26824,0.73521,1.1882,0.98157,0.90526,0.98349,0.72015,1.02382,0.60233,1.06307,0.001703,0.001703,0.001703
17,158.804,1.26712,0.74714,1.20305,0.96538,0.90526,0.98024,0.70193,1.0157,0.60912,1.04449,0.0016832,0.0016832,0.0016832
18,167.751,1.25986,0.73853,1.19263,0.9677,0.94601,0.96552,0.68088,0.98659,0.59672,1.04987,0.0016634,0.0016634,0.0016634
19,176.578,1.25177,0.7076,1.17103,0.96929,0.94737,0.97785,0.73796,0.94747,0.56113,1.02041,0.0016436,0.0016436,0.0016436
20,185.68,1.25959,0.69873,1.18893,0.91163,0.97895,0.97607,0.68801,1.04634,0.60278,1.06667,0.0016238,0.0016238,0.0016238
21,194.509,1.26237,0.71555,1.18676,1,0.95755,0.98305,0.72181,0.96603,0.54873,1.04408,0.001604,0.001604,0.001604
