Model,Clutter_Level,Image_Name,Num_Detections,Avg_Confidence,TP,FP,FN,Precision,Recall,F1_Score,Avg_IOU
YOLOv8,Level_0,L0_1.png,1,0.877668023109436,1,0,0,1.0,1.0,1.0,0.8861106808615222
YOLOv11,Level_0,L0_1.png,1,0.8740284442901611,1,0,0,1.0,1.0,1.0,0.8532676234508456
YOLOv8,Level_0,L0_2.png,1,0.8703097701072693,1,0,0,1.0,1.0,1.0,0.949350588151414
YOLOv11,Level_0,L0_2.png,1,0.8855689167976379,1,0,0,1.0,1.0,1.0,0.9486743147411587
YOLOv8,Level_0,L0_3.png,1,0.8732644319534302,1,0,0,1.0,1.0,1.0,0.8363778790902521
YOLOv11,Level_0,L0_3.png,1,0.8707361817359924,1,0,0,1.0,1.0,1.0,0.8826943009884511
YOLOv8,Level_0,L0_4.png,1,0.8736490607261658,1,0,0,1.0,1.0,1.0,0.7990808969294155
YOLOv11,Level_0,L0_4.png,1,0.8855357766151428,1,0,0,1.0,1.0,1.0,0.7955882822593393
YOLOv8,Level_0,L0_5.png,1,0.9012115001678467,1,0,0,1.0,1.0,1.0,0.8178890218542478
YOLOv11,Level_0,L0_5.png,1,0.8833445310592651,1,0,0,1.0,1.0,1.0,0.8414714686280541
YOLOv8,Level_0,L0_6.png,1,0.8802961707115173,1,0,0,1.0,1.0,1.0,0.8854715632816345
YOLOv11,Level_0,L0_6.png,1,0.8733978271484375,1,0,0,1.0,1.0,1.0,0.8890045370945454
YOLOv8,Level_0,L0_7.png,1,0.8922041654586792,1,0,0,1.0,1.0,1.0,0.8859782428050317
YOLOv11,Level_0,L0_7.png,1,0.8892142176628113,1,0,0,1.0,1.0,1.0,0.8585881940245714
YOLOv8,Level_0,L0_8.png,1,0.8902732133865356,1,0,0,1.0,1.0,1.0,0.8123578791848175
YOLOv11,Level_0,L0_8.png,1,0.8625878095626831,1,0,0,1.0,1.0,1.0,0.8879204935133317
YOLOv8,Level_0,L0_9.png,1,0.8126307725906372,1,0,0,1.0,1.0,1.0,0.892461890596031
YOLOv11,Level_0,L0_9.png,1,0.7972545027732849,1,0,0,1.0,1.0,1.0,0.8398621946437216
YOLOv8,Level_0,L0_10.png,1,0.8163512945175171,1,0,0,1.0,1.0,1.0,0.7896651924075035
YOLOv11,Level_0,L0_10.png,1,0.840209424495697,1,0,0,1.0,1.0,1.0,0.7748883027721722
YOLOv8,Level_0,L0_11.png,1,0.8630432486534119,1,0,0,1.0,1.0,1.0,0.896283153591606
